,pair,count,sample
0,Short_nuclear_domain;STAT2_HUMAN;STAT2_C;770;55 --- Random_control;;;89;,6789,11
1,Random_control;;;257; --- Random_control;;;257;,73626,11
2,Silencer_tiles;ENSG00000084093;101 --- DMD_control_tiles;ENSG00000198947;;357;,3034,11
3,Short_nuclear_domain;APBB1_HUMAN;WW;229;28 --- Silencer_tiles;ENSG00000170604;0,2088,11
4,Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59 --- Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59,21591,11
5,Silencer_tiles;ENSG00000102974;12 --- Silencer_tiles;ENSG00000102974;12,15002,11
6,DMD_control_tiles;ENSG00000198947;;131; --- Random_control;;;205;,2802,11
7,Silencer_tiles;ENSG00000102974;12 --- Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59,5528,11
8,Silencer_tiles;ENSG00000076108;118 --- Short_nuclear_domain;GSX1_HUMAN;Homeodomain;136;56,1990,11
9,Silencer_tiles;ENSG00000102974;12 --- Short_nuclear_domain;IKKA_HUMAN;IKKbetaNEMObind;665;36,2408,11
10,Human_KRAB_variant;Q3KP31;676 --- Silencer_tiles;ENSG00000174197;238,454,11
11,Silencer_tiles;ENSG00000076108;118 --- Random_control;;;411;,12503,11
12,Silencer_tiles;ENSG00000069812;10 --- Silencer_tiles;ENSG00000069812;10,176313,11
13,Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59 --- DMD_control_tiles;ENSG00000198947;;131;,2363,11
14,Silencer_tiles;ENSG00000102974;12 --- Short_nuclear_domain;SUMO3_HUMAN;Rad60-SLD;12;70,2399,11
15,Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63 --- Silencer_tiles;ENSG00000111642;38,3071,11
16,DMD_control_tiles;ENSG00000198947;;297; --- Silencer_tiles;ENSG00000061273;33,4172,11
17,Silencer_tiles;ENSG00000130706;26 --- Silencer_tiles;ENSG00000130706;26,32410,11
18,Silencer_tiles;ENSG00000170604;0 --- Silencer_tiles;ENSG00000069812;10,8505,11
19,Random_control;;;372; --- Silencer_tiles;ENSG00000111642;38,3458,11
20,Random_control;;;205; --- Random_control;;;205;,104566,11
21,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;MTA3_HUMAN;GATA;357;37,3975,11
22,Short_nuclear_domain;GSX1_HUMAN;Homeodomain;136;56 --- Short_nuclear_domain;GSX1_HUMAN;Homeodomain;136;56,1175,11
23,Silencer_tiles;ENSG00000141644;47 --- Silencer_tiles;ENSG00000141644;47,51355,11
24,Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41 --- Human_KRAB_variant;M0QYP0;367,2952,11
25,Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26 --- Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41,1603,11
26,Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59 --- Random_control;;;297;,5117,11
27,Short_nuclear_domain;CBX1_HUMAN;Chromo_shadow;104;52 --- Silencer_tiles;ENSG00000174197;238,1445,11
28,NIZP1_KRAB --- NIZP1_KRAB,26504,11
29,Silencer_tiles;ENSG00000141644;47 --- Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,16610,11
30,Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63 --- Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45,1318,11
31,DMD_control_tiles;ENSG00000198947;;182; --- Short_nuclear_domain;APC16_HUMAN;ANAPC16;26;79,132,11
32,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,42832,11
33,Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26 --- Silencer_tiles;ENSG00000188779;4,1368,11
34,Silencer_tiles;ENSG00000102974;12 --- Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46,2561,11
35,Silencer_tiles;ENSG00000130706;26 --- Silencer_tiles;ENSG00000069812;10,18884,11
