,pair,count,sample
0,DMD_control_tiles;ENSG00000198947;;297; --- DMD_control_tiles;ENSG00000198947;;31;,5077,02
1,Silencer_tiles;ENSG00000085224;242 --- Silencer_tiles;ENSG00000061273;33,1758,02
2,Short_nuclear_domain;BTK_HUMAN;SH3_1;203;46 --- Short_nuclear_domain;BTK_HUMAN;SH3_1;203;46,2362,02
3,NIZP1_KRAB --- NIZP1_KRAB,46338,02
4,Silencer_tiles;ENSG00000170604;0 --- Silencer_tiles;ENSG00000170604;0,59287,02
5,Short_nuclear_domain;GSX1_HUMAN;Homeodomain;136;56 --- Short_nuclear_domain;DPF1_HUMAN;Requiem_N;34;71,2054,02
6,Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63 --- Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59,6851,02
7,Short_nuclear_domain;CBX1_HUMAN;Chromo_shadow;104;52 --- Silencer_tiles;ENSG00000179833;22,4596,02
8,Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26 --- DMD_control_tiles;ENSG00000198947;;31;,9177,02
9,Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45 --- Short_nuclear_domain;DPF1_HUMAN;Requiem_N;34;71,4348,02
10,Silencer_tiles;ENSG00000100307;18 --- DMD_control_tiles;ENSG00000198947;;259;,8269,02
11,Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41 --- Random_control;;;205;,12029,02
12,Short_nuclear_domain;DPF1_HUMAN;Requiem_N;34;71 --- Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,5118,02
13,Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26 --- Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26,46122,02
14,Human_KRAB_variant;M0QYP0;367 --- Silencer_tiles;ENSG00000205571;13,8660,02
15,Random_control;;;411; --- Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41,3529,02
16,Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72 --- Short_nuclear_domain;APBB1_HUMAN;WW;229;28,6510,02
17,Short_nuclear_domain;SMRC2_HUMAN;Myb_DNA-binding;580;45 --- Short_nuclear_domain;SMRC2_HUMAN;Myb_DNA-binding;580;45,46406,02
18,Silencer_tiles;ENSG00000163602;11 --- Silencer_tiles;ENSG00000025156;13,1564,02
19,Random_control;;;257; --- Random_control;;;257;,107926,02
20,Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59 --- Silencer_tiles;ENSG00000168769;132,4857,02
21,Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41 --- Silencer_tiles;ENSG00000111642;38,10418,02
22,Silencer_tiles;ENSG00000076108;118 --- Silencer_tiles;ENSG00000069812;10,95216,02
23,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Short_nuclear_domain;ZN777_HUMAN;DUF3669;181;67,14358,02
24,Random_control;;;205; --- Random_control;;;205;,202580,02
25,Random_control;;;385; --- Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26,1011,02
26,Human_KRAB_variant;Q3KP31;676 --- Short_nuclear_domain;SSX2_HUMAN;SSXRD;108;31,1243,02
27,Short_nuclear_domain;ZFP28_HUMAN;KRAB;209;37 --- Short_nuclear_domain;PCGF2_HUMAN;zf-C3HC4_2;1;39,2860,02
28,Silencer_tiles;ENSG00000076108;118 --- Silencer_tiles;ENSG00000168769;132,21509,02
29,Short_nuclear_domain;CBX1_HUMAN;Chromo_shadow;104;52 --- DMD_control_tiles;ENSG00000198947;;357;,7620,02
30,Silencer_tiles;ENSG00000141644;47 --- Short_nuclear_domain;DPF1_HUMAN;Requiem_N;34;71,9363,02
31,Silencer_tiles;ENSG00000076108;118 --- Silencer_tiles;ENSG00000076108;118,239338,02
32,Silencer_tiles;ENSG00000088305;10 --- Silencer_tiles;ENSG00000088305;10,86030,02
33,Silencer_tiles;ENSG00000076108;118 --- Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46,17726,02
34,DMD_control_tiles;ENSG00000198947;;297; --- DMD_control_tiles;ENSG00000198947;;259;,5280,02
35,Random_control;;;372; --- Random_control;;;372;,43740,02
36,Short_nuclear_domain;PCGF2_HUMAN;zf-C3HC4_2;1;39 --- Short_nuclear_domain;MTA3_HUMAN;GATA;357;37,4196,02
37,Silencer_tiles;ENSG00000069812;10 --- Silencer_tiles;ENSG00000069812;10,285543,02
38,Random_control;;;124; --- Silencer_tiles;ENSG00000141644;47,5049,02
39,Short_nuclear_domain;SCMH1_HUMAN;SAM_1;580;65 --- Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46,3240,02
40,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72,17684,02
41,Short_nuclear_domain;ITCH_HUMAN;WW;302;29 --- DMD_control_tiles;ENSG00000198947;;259;,4664,02
42,Short_nuclear_domain;ZN777_HUMAN;DUF3669;181;67 --- Silencer_tiles;ENSG00000174197;34,4524,02
43,Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72 --- Random_control;;;21;,7992,02
44,Short_nuclear_domain;PCGF2_HUMAN;zf-C3HC4_2;1;39 --- Random_control;;;411;,9495,02
45,NIZP1_KRAB --- Random_control;;;385;,6610,02
46,Short_nuclear_domain;YAF2_HUMAN;YAF2_RYBP;78;32 --- Random_control;;;21;,1001,02
47,Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72 --- Silencer_tiles;ENSG00000088305;10,6726,02
48,Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41 --- Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72,11019,02
49,Silencer_tiles;ENSG00000141644;47 --- DMD_control_tiles;ENSG00000198947;;357;,16620,02
50,Random_control;;;89; --- Random_control;;;89;,72251,02
51,Random_control;;;205; --- Silencer_tiles;ENSG00000168769;132,12786,02
52,Short_nuclear_domain;ITCH_HUMAN;WW;302;29 --- Silencer_tiles;ENSG00000061273;33,6647,02
53,Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41 --- Silencer_tiles;ENSG00000069812;10,30054,02
54,DMD_control_tiles;ENSG00000198947;;176; --- Short_nuclear_domain;SMCA2_HUMAN;QLQ;150;34,985,02
55,Short_nuclear_domain;PCGF2_HUMAN;zf-C3HC4_2;1;39 --- Short_nuclear_domain;GSX1_HUMAN;Homeodomain;136;56,748,02
56,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41,7432,02
57,Random_control;;;124; --- Silencer_tiles;ENSG00000069812;10,30157,02
58,Short_nuclear_domain;ZN597_HUMAN;KRAB;1;41 --- Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,5093,02
59,DMD_control_tiles;ENSG00000198947;;131; --- DMD_control_tiles;ENSG00000198947;;255;,3394,02
60,Silencer_tiles;ENSG00000188779;4 --- DMD_control_tiles;ENSG00000198947;;357;,3411,02
61,Random_control;;;411; --- Silencer_tiles;ENSG00000102974;12,2585,02
62,DMD_control_tiles;ENSG00000198947;;357; --- Short_nuclear_domain;ZFP28_HUMAN;KRAB;209;37,4202,02
63,Random_control;;;124; --- Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,10266,02
64,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Short_nuclear_domain;ITCH_HUMAN;WW;302;29,2449,02
65,Silencer_tiles;ENSG00000179833;22 --- Random_control;;;257;,10137,02
66,Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40 --- Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40,119665,02
67,Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45 --- Random_control;;;124;,7746,02
68,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,68928,02
69,Random_control;;;124; --- Random_control;;;124;,119408,02
70,Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45 --- Short_nuclear_domain;ZN777_HUMAN;DUF3669;181;67,4921,02
71,Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72 --- Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63,3914,02
72,Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46 --- Random_control;;;205;,3565,02
73,Silencer_tiles;ENSG00000111642;38 --- Silencer_tiles;ENSG00000111642;38,26499,02
74,Short_nuclear_domain;GSX1_HUMAN;Homeodomain;136;56 --- Random_control;;;124;,4034,02
75,Short_nuclear_domain;WBP4_HUMAN;WW;139;29 --- Silencer_tiles;ENSG00000111642;38,2238,02
76,Random_control;;;411; --- DMD_control_tiles;ENSG00000198947;;357;,8098,02
77,Random_control;;;124; --- Short_nuclear_domain;ZFP28_HUMAN;KRAB;209;37,7629,02
78,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- Random_control;;;124;,6104,02
79,Silencer_tiles;ENSG00000076108;118 --- DMD_control_tiles;ENSG00000198947;;130;,13240,02
80,Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45 --- Random_control;;;21;,8428,02
81,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Human_KRAB_variant;M0QYP0;367,23310,02
82,Random_control;;;205; --- Random_control;;;124;,16028,02
83,Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45 --- Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63,4443,02
84,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,36511,02
85,Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59 --- DMD_control_tiles;ENSG00000198947;;31;,3752,02
86,Silencer_tiles;ENSG00000102974;12 --- NIZP1_C2HR,4611,02
87,Human_KRAB_variant;M0QYP0;367 --- Random_control;;;205;,23260,02
88,Human_KRAB_variant;M0QYP0;367 --- DMD_control_tiles;ENSG00000198947;;182;,5352,02
89,Random_control;;;124; --- Short_nuclear_domain;SSX2_HUMAN;SSXRD;108;31,6151,02
90,Random_control;;;89; --- Human_KRAB_variant;M0QYP0;367,6378,02
91,NIZP1_KRAB --- Silencer_tiles;ENSG00000174197;34,6944,02
92,Random_control;;;257; --- Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63,9307,02
93,Silencer_tiles;ENSG00000085224;242 --- Silencer_tiles;ENSG00000085224;242,15572,02
94,Silencer_tiles;ENSG00000168769;132 --- Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,3508,02
95,Random_control;;;205; --- Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59,19425,02
96,Silencer_tiles;ENSG00000141644;47 --- Silencer_tiles;ENSG00000179833;22,14134,02
97,Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77 --- Short_nuclear_domain;ZFP28_HUMAN;KRAB;209;37,1107,02
98,Silencer_tiles;ENSG00000100307;18 --- Silencer_tiles;ENSG00000100307;18,70880,02
99,Short_nuclear_domain;NOTC2_HUMAN;Notch;1440;34 --- Random_control;;;205;,7654,02
100,Short_nuclear_domain;STAT2_HUMAN;STAT2_C;770;55 --- Random_control;;;21;,11109,02
101,Silencer_tiles;ENSG00000155090;12 --- Silencer_tiles;ENSG00000155090;12,7714,02
