,pair,count,sample
0,Silencer_tiles;ENSG00000179833;22 --- Silencer_tiles;ENSG00000179833;22,32318,07
1,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,61861,07
2,Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40 --- Silencer_tiles;ENSG00000069812;10,13170,07
3,Random_control;;;257; --- Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59,8166,07
4,Random_control;;;124; --- Random_control;;;124;,130561,07
5,Short_nuclear_domain;IKKA_HUMAN;IKKbetaNEMObind;665;36 --- Short_nuclear_domain;IKKA_HUMAN;IKKbetaNEMObind;665;36,28030,07
6,Random_control;;;205; --- Random_control;;;205;,168521,07
7,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45,1404,07
8,Short_nuclear_domain;MTA3_HUMAN;GATA;357;37 --- Short_nuclear_domain;MTA3_HUMAN;GATA;357;37,15104,07
9,Short_nuclear_domain;ITCH_HUMAN;WW;302;29 --- Short_nuclear_domain;SCMH1_HUMAN;SAM_1;580;65,2667,07
10,Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40 --- Random_control;;;257;,8070,07
11,Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59 --- Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59,21904,07
12,Silencer_tiles;ENSG00000061273;33 --- Silencer_tiles;ENSG00000061273;33,80160,07
13,Silencer_tiles;ENSG00000130706;26 --- Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,10871,07
14,Silencer_tiles;ENSG00000102974;12 --- Short_nuclear_domain;SMRC2_HUMAN;Myb_DNA-binding;580;45,690,07
15,Silencer_tiles;ENSG00000088305;10 --- Random_control;;;205;,3813,07
16,Silencer_tiles;ENSG00000061273;33 --- Silencer_tiles;ENSG00000205571;13,2764,07
17,Short_nuclear_domain;SMRC2_HUMAN;Myb_DNA-binding;580;45 --- Short_nuclear_domain;SMRC2_HUMAN;Myb_DNA-binding;580;45,57168,07
18,Silencer_tiles;ENSG00000130706;26 --- Short_nuclear_domain;WWP2_HUMAN;WW;381;28,4037,07
