,pair,count,sample
0,Silencer_tiles;ENSG00000179833;22 --- Silencer_tiles;ENSG00000069812;10,68476,10
1,Silencer_tiles;ENSG00000076108;118 --- Short_nuclear_domain;SCMH1_HUMAN;SAM_1;580;65,32347,10
2,Human_KRAB_variant;M0QYP0;367 --- NIZP1_C2HR,28119,10
3,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;TOX_HUMAN;HMG_box;255;68,17522,10
4,Silencer_tiles;ENSG00000130706;26 --- Silencer_tiles;ENSG00000088305;10,14100,10
5,Silencer_tiles;ENSG00000130706;26 --- Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40,17437,10
6,Short_nuclear_domain;APC16_HUMAN;ANAPC16;26;79 --- Human_KRAB_variant;Q3KP31;676,7950,10
7,DMD_control_tiles;ENSG00000198947;;255; --- Random_control;;;124;,695,10
8,Silencer_tiles;ENSG00000188779;4 --- Short_nuclear_domain;SUMO3_HUMAN;Rad60-SLD;12;70,2280,10
9,Random_control;;;89; --- Silencer_tiles;ENSG00000100307;18,6189,10
10,Short_nuclear_domain;SMCA2_HUMAN;QLQ;150;34 --- Silencer_tiles;ENSG00000170604;0,3805,10
11,Short_nuclear_domain;DPF1_HUMAN;Requiem_N;34;71 --- Random_control;;;297;,6228,10
12,Short_nuclear_domain;HXA13_HUMAN;Homeodomain;308;56 --- Short_nuclear_domain;ZN777_HUMAN;DUF3669;181;67,258,10
13,Silencer_tiles;ENSG00000076108;118 --- Silencer_tiles;ENSG00000069812;10,165272,10
14,Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41 --- Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41,979,10
15,Random_control;;;411; --- Short_nuclear_domain;NOTC2_HUMAN;Notch;1440;34,7312,10
16,Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40 --- Silencer_tiles;ENSG00000155090;12,3487,10
17,Silencer_tiles;ENSG00000141644;47 --- Silencer_tiles;ENSG00000084093;101,10969,10
18,Short_nuclear_domain;MPP8_HUMAN;Chromo;44;50 --- Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59,624,10
19,Silencer_tiles;ENSG00000076108;118 --- Human_KRAB_variant;Q3KP31;676,39273,10
20,Silencer_tiles;ENSG00000076108;118 --- Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45,12104,10
21,Silencer_tiles;ENSG00000076108;118 --- Human_KRAB_variant;M0QYP0;367,66740,10
22,Silencer_tiles;ENSG00000088305;10 --- Silencer_tiles;ENSG00000168769;132,6609,10
23,Silencer_tiles;ENSG00000100307;18 --- Silencer_tiles;ENSG00000069812;10,72182,10
24,Random_control;;;411; --- Short_nuclear_domain;SMCA2_HUMAN;QLQ;150;34,6479,10
25,Silencer_tiles;ENSG00000100307;18 --- Silencer_tiles;ENSG00000111642;38,26039,10
26,Short_nuclear_domain;CBX1_HUMAN;Chromo_shadow;104;52 --- Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41,8682,10
27,Random_control;;;205; --- Short_nuclear_domain;ZN777_HUMAN;DUF3669;181;67,12699,10
28,Short_nuclear_domain;APBB1_HUMAN;WW;229;28 --- Silencer_tiles;ENSG00000069812;10,36089,10
29,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Short_nuclear_domain;KIBRA_HUMAN;WW;1;29,1713,10
30,Silencer_tiles;ENSG00000102974;12 --- Short_nuclear_domain;DPF1_HUMAN;Requiem_N;34;71,3099,10
31,Random_control;;;205; --- Random_control;;;89;,18067,10
32,Human_KRAB_variant;M0QYP0;367 --- Silencer_tiles;ENSG00000069812;10,216327,10
33,Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63 --- DMD_control_tiles;ENSG00000198947;;182;,2291,10
34,Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41 --- Silencer_tiles;ENSG00000069812;10,50524,10
35,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,98636,10
36,Short_nuclear_domain;SMRC2_HUMAN;Myb_DNA-binding;580;45 --- Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26,4844,10
37,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;ITCH_HUMAN;WW;302;29,64518,10
38,Random_control;;;124; --- Short_nuclear_domain;MYBA_HUMAN;LMSTEN;223;46,5716,10
39,Random_control;;;205; --- Silencer_tiles;ENSG00000179833;22,19895,10
40,Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26 --- Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,18769,10
41,Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40 --- Random_control;;;124;,24795,10
42,Short_nuclear_domain;STAT2_HUMAN;STAT2_C;770;55 --- Random_control;;;297;,11673,10
43,Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59 --- DMD_control_tiles;ENSG00000198947;;182;,1728,10
44,Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63 --- Short_nuclear_domain;SUMO3_HUMAN;Rad60-SLD;12;70,5863,10
45,Silencer_tiles;ENSG00000076108;118 --- Short_nuclear_domain;NOTC2_HUMAN;Notch;1440;34,24105,10
46,Random_control;;;297; --- Random_control;;;297;,6272,10
47,Short_nuclear_domain;ITCH_HUMAN;WW;302;29 --- Short_nuclear_domain;WWP2_HUMAN;WW;381;28,2883,10
48,Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59 --- Silencer_tiles;ENSG00000111642;38,8885,10
49,Silencer_tiles;ENSG00000179833;22 --- Short_nuclear_domain;CBX1_HUMAN;Chromo_shadow;104;52,6405,10
50,Silencer_tiles;ENSG00000141644;47 --- Silencer_tiles;ENSG00000025156;13,10811,10
51,Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45 --- Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,12625,10
52,Silencer_tiles;ENSG00000100307;18 --- Short_nuclear_domain;CDYL2_HUMAN;Chromo;1;50,4115,10
53,Silencer_tiles;ENSG00000141644;47 --- Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,60163,10
54,Silencer_tiles;ENSG00000130706;26 --- NIZP1_C2HR,7401,10
55,NIZP1_KRAB --- Random_control;;;297;,12766,10
56,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;SCMH1_HUMAN;SAM_1;580;65,36372,10
57,Silencer_tiles;ENSG00000085224;242 --- Silencer_tiles;ENSG00000130706;26,2715,10
58,Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46 --- Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40,3377,10
59,Silencer_tiles;ENSG00000155090;12 --- Silencer_tiles;ENSG00000111642;38,4354,10
60,Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40 --- Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41,16080,10
61,Silencer_tiles;ENSG00000102974;12 --- Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45,2998,10
62,Silencer_tiles;ENSG00000179833;22 --- Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40,18242,10
63,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72,58218,10
64,Silencer_tiles;ENSG00000100307;18 --- Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40,30512,10
65,Human_KRAB_variant;M0QYP0;367 --- Silencer_tiles;ENSG00000088305;10,69660,10
66,DMD_control_tiles;ENSG00000198947;;255; --- Silencer_tiles;ENSG00000102974;12,188,10
67,Short_nuclear_domain;ID2_HUMAN;HLH;15;41 --- Silencer_tiles;ENSG00000061273;33,3283,10
68,Short_nuclear_domain;DPF1_HUMAN;Requiem_N;34;71 --- Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72,6577,10
69,Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63 --- Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63,4215,10
70,Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40 --- Random_control;;;257;,15341,10
71,NIZP1_KRAB --- Silencer_tiles;ENSG00000069812;10,46253,10
72,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Short_nuclear_domain;BTK_HUMAN;SH3_1;203;46,4094,10
73,Random_control;;;257; --- Random_control;;;257;,17803,10
74,Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26 --- Silencer_tiles;ENSG00000069812;10,83077,10
75,Silencer_tiles;ENSG00000174197;238 --- Short_nuclear_domain;SCMH1_HUMAN;SAM_1;580;65,2255,10
76,Silencer_tiles;ENSG00000155090;12 --- Short_nuclear_domain;TOX_HUMAN;HMG_box;255;68,2389,10
77,Short_nuclear_domain;NOTC2_HUMAN;Notch;1440;34 --- Silencer_tiles;ENSG00000130706;26,7612,10
78,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41,57389,10
79,Silencer_tiles;ENSG00000100307;18 --- Short_nuclear_domain;WWP2_HUMAN;WW;381;28,14998,10
80,Random_control;;;124; --- Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41,11195,10
81,Random_control;;;205; --- Silencer_tiles;ENSG00000069812;10,81795,10
82,Random_control;;;205; --- Silencer_tiles;ENSG00000061273;33,18469,10
83,DMD_control_tiles;ENSG00000198947;;176; --- Short_nuclear_domain;TERF1_HUMAN;Myb_DNA-binding;359;48,263,10
84,Silencer_tiles;ENSG00000076108;118 --- Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40,49331,10
85,Silencer_tiles;ENSG00000061273;33 --- Short_nuclear_domain;IKKA_HUMAN;IKKbetaNEMObind;665;36,5080,10
86,Short_nuclear_domain;ZFP28_HUMAN;KRAB;209;37 --- Silencer_tiles;ENSG00000069812;10,34761,10
87,Silencer_tiles;ENSG00000025156;13 --- Silencer_tiles;ENSG00000168769;132,1402,10
88,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26,29584,10
89,Silencer_tiles;ENSG00000188779;4 --- Silencer_tiles;ENSG00000163602;11,1332,10
90,Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41 --- Random_control;;;297;,17650,10
91,Silencer_tiles;ENSG00000061273;33 --- Short_nuclear_domain;MTA3_HUMAN;GATA;357;37,8706,10
92,Random_control;;;411; --- Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63,6408,10
93,Silencer_tiles;ENSG00000102974;12 --- Silencer_tiles;ENSG00000061273;33,17634,10
94,Random_control;;;205; --- Silencer_tiles;ENSG00000100307;18,16638,10
95,Silencer_tiles;ENSG00000088305;10 --- DMD_control_tiles;ENSG00000198947;;357;,8680,10
96,Human_KRAB_variant;M0QYP0;367 --- Silencer_tiles;ENSG00000170604;0,28531,10
97,DMD_control_tiles;ENSG00000198947;;182; --- Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41,489,10
98,Human_KRAB_variant;M0QYP0;367 --- DMD_control_tiles;ENSG00000198947;;357;,55536,10
99,Short_nuclear_domain;IKKA_HUMAN;IKKbetaNEMObind;665;36 --- Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46,4349,10
100,Short_nuclear_domain;SUMO3_HUMAN;Rad60-SLD;12;70 --- Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40,6201,10
101,Short_nuclear_domain;CDYL2_HUMAN;Chromo;1;50 --- Silencer_tiles;ENSG00000170604;0,609,10
102,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40,78806,10
103,Short_nuclear_domain;GSX1_HUMAN;Homeodomain;136;56 --- Silencer_tiles;ENSG00000061273;33,3751,10
104,Silencer_tiles;ENSG00000174197;238 --- Short_nuclear_domain;ITCH_HUMAN;WW;302;29,3278,10
105,Random_control;;;411; --- Silencer_tiles;ENSG00000111642;38,12710,10
106,Silencer_tiles;ENSG00000141644;47 --- Short_nuclear_domain;TOX_HUMAN;HMG_box;255;68,10709,10
107,Short_nuclear_domain;CBX1_HUMAN;Chromo_shadow;104;52 --- Random_control;;;411;,14236,10
108,Silencer_tiles;ENSG00000179833;22 --- Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72,17065,10
109,Random_control;;;257; --- Silencer_tiles;ENSG00000076108;118,45683,10
110,Silencer_tiles;ENSG00000076108;118 --- Silencer_tiles;ENSG00000100307;18,45421,10
111,Random_control;;;297; --- Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40,5500,10
112,Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72 --- Silencer_tiles;ENSG00000085224;242,5010,10
113,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;STAT2_HUMAN;STAT2_C;770;55,34116,10
114,Silencer_tiles;ENSG00000076108;118 --- DMD_control_tiles;ENSG00000198947;;131;,21792,10
115,Silencer_tiles;ENSG00000100307;18 --- Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41,9314,10
116,Random_control;;;205; --- Short_nuclear_domain;IKKA_HUMAN;IKKbetaNEMObind;665;36,6580,10
