,pair,count,sample
0,Silencer_tiles;ENSG00000069812;10 --- Silencer_tiles;ENSG00000069812;10,7133,04
1,Short_nuclear_domain;SMCA2_HUMAN;QLQ;150;34 --- Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63,29,04
2,Random_control;;;297; --- Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63,66,04
3,Random_control;;;297; --- DMD_control_tiles;ENSG00000198947;;297;,35,04
4,Short_nuclear_domain;CBX1_HUMAN;Chromo_shadow;104;52 --- Short_nuclear_domain;CBX1_HUMAN;Chromo_shadow;104;52,288,04
5,Short_nuclear_domain;APC16_HUMAN;ANAPC16;26;79 --- Random_control;;;124;,84,04
6,Silencer_tiles;ENSG00000076108;118 --- Silencer_tiles;ENSG00000076108;118,6068,04
7,Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41 --- Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41,298,04
8,Silencer_tiles;ENSG00000111642;38 --- Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46,34,04
9,Short_nuclear_domain;BTK_HUMAN;SH3_1;203;46 --- Short_nuclear_domain;YAF2_HUMAN;YAF2_RYBP;78;32,20,04
10,DMD_control_tiles;ENSG00000198947;;297; --- DMD_control_tiles;ENSG00000198947;;31;,68,04
11,Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72 --- Short_nuclear_domain;MYBA_HUMAN;LMSTEN;223;46,44,04
12,Silencer_tiles;ENSG00000127124;78 --- Short_nuclear_domain;MTA3_HUMAN;GATA;357;37,48,04
13,Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59 --- Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59,1086,04
14,Silencer_tiles;ENSG00000061273;33 --- Silencer_tiles;ENSG00000061273;33,2101,04
15,Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26 --- Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26,1225,04
16,Short_nuclear_domain;SMRC2_HUMAN;Myb_DNA-binding;580;45 --- Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46,59,04
17,Silencer_tiles;ENSG00000130706;26 --- Silencer_tiles;ENSG00000168769;132,135,04
18,Silencer_tiles;ENSG00000127124;78 --- Random_control;;;21;,136,04
19,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,741,04
20,Short_nuclear_domain;ITCH_HUMAN;WW;302;29 --- Silencer_tiles;ENSG00000170604;0,108,04
21,Random_control;;;124; --- Short_nuclear_domain;MTA3_HUMAN;GATA;357;37,113,04
22,Silencer_tiles;ENSG00000084093;101 --- DMD_control_tiles;ENSG00000198947;;255;,25,04
23,Short_nuclear_domain;NOTC2_HUMAN;Notch;1440;34 --- Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59,74,04
24,Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40 --- Short_nuclear_domain;ZN777_HUMAN;DUF3669;181;67,204,04
25,Silencer_tiles;ENSG00000179833;22 --- Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,223,04
26,Silencer_tiles;ENSG00000088305;10 --- Short_nuclear_domain;CDYL2_HUMAN;Chromo;1;50,40,04
27,Silencer_tiles;ENSG00000179833;22 --- Silencer_tiles;ENSG00000069812;10,881,04
28,Random_control;;;257; --- Silencer_tiles;ENSG00000141644;47,119,04
29,Random_control;;;372; --- Silencer_tiles;ENSG00000102974;12,37,04
30,Random_control;;;205; --- Short_nuclear_domain;CBX1_HUMAN;Chromo_shadow;104;52,77,04
31,Short_nuclear_domain;ITCH_HUMAN;WW;302;29 --- Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59,101,04
32,Silencer_tiles;ENSG00000174197;238 --- Silencer_tiles;ENSG00000069812;10,157,04
33,Silencer_tiles;ENSG00000155090;12 --- DMD_control_tiles;ENSG00000198947;;357;,79,04
34,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,480,04
35,Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26 --- Short_nuclear_domain;APBB1_HUMAN;WW;229;28,220,04
