,pair,count,sample
0,Random_control;;;205; --- Random_control;;;205;,86936,06
1,Random_control;;;124; --- Random_control;;;124;,41942,06
2,Silencer_tiles;ENSG00000100307;18 --- Silencer_tiles;ENSG00000100307;18,48652,06
3,Human_KRAB_variant;M0QYP0;367 --- Human_KRAB_variant;M0QYP0;367,128864,06
4,Silencer_tiles;ENSG00000061273;33 --- Short_nuclear_domain;SMRC2_HUMAN;Myb_DNA-binding;580;45,406,06
5,Short_nuclear_domain;CBX1_HUMAN;Chromo_shadow;104;52 --- Short_nuclear_domain;IKKA_HUMAN;IKKbetaNEMObind;665;36,325,06
6,DMD_control_tiles;ENSG00000198947;;357; --- Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26,312,06
7,Silencer_tiles;ENSG00000076108;118 --- Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63,3702,06
8,Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40 --- Human_KRAB_variant;M0QYP0;367,2383,06
9,Silencer_tiles;ENSG00000155090;12 --- DMD_control_tiles;ENSG00000198947;;31;,522,06
10,Silencer_tiles;ENSG00000069812;10 --- Silencer_tiles;ENSG00000069812;10,187383,06
11,Short_nuclear_domain;STAT2_HUMAN;STAT2_C;770;55 --- Silencer_tiles;ENSG00000069812;10,10868,06
12,Short_nuclear_domain;SMCA2_HUMAN;QLQ;150;34 --- Short_nuclear_domain;SMCA2_HUMAN;QLQ;150;34,17662,06
13,Silencer_tiles;ENSG00000088305;10 --- Random_control;;;205;,2330,06
14,Silencer_tiles;ENSG00000100307;18 --- Short_nuclear_domain;APC16_HUMAN;ANAPC16;26;79,1170,06
15,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Silencer_tiles;ENSG00000069812;10,16744,06
16,Silencer_tiles;ENSG00000102974;12 --- Random_control;;;297;,2764,06
17,Random_control;;;124; --- Silencer_tiles;ENSG00000076108;118,2460,06
18,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Short_nuclear_domain;BTK_HUMAN;SH3_1;203;46,417,06
19,Silencer_tiles;ENSG00000170604;0 --- Silencer_tiles;ENSG00000170604;0,30780,06
20,Short_nuclear_domain;SCMH1_HUMAN;SAM_1;580;65 --- Random_control;;;124;,1240,06
21,Silencer_tiles;ENSG00000076108;118 --- Silencer_tiles;ENSG00000179833;22,4173,06
22,Silencer_tiles;ENSG00000076108;118 --- Silencer_tiles;ENSG00000076108;118,142809,06
23,Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41 --- Silencer_tiles;ENSG00000163602;11,292,06
24,Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41 --- Random_control;;;205;,1213,06
25,DMD_control_tiles;ENSG00000198947;;357; --- DMD_control_tiles;ENSG00000198947;;357;,23905,06
26,Random_control;;;124; --- Silencer_tiles;ENSG00000088305;10,1410,06
27,Silencer_tiles;ENSG00000163602;11 --- Silencer_tiles;ENSG00000163602;11,6194,06
28,Random_control;;;372; --- Short_nuclear_domain;IKKA_HUMAN;IKKbetaNEMObind;665;36,278,06
29,Short_nuclear_domain;GSX1_HUMAN;Homeodomain;136;56 --- Short_nuclear_domain;GSX1_HUMAN;Homeodomain;136;56,684,06
30,DMD_control_tiles;ENSG00000198947;;171; --- Silencer_tiles;ENSG00000085224;242,236,06
31,Silencer_tiles;ENSG00000168769;132 --- Silencer_tiles;ENSG00000168769;132,13738,06
32,Silencer_tiles;ENSG00000179833;22 --- Random_control;;;257;,2190,06
33,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46,37511,06
34,Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59 --- Silencer_tiles;ENSG00000174197;34,447,06
35,DMD_control_tiles;ENSG00000198947;;31; --- Silencer_tiles;ENSG00000076108;118,883,06
36,Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59 --- Random_control;;;372;,419,06
37,Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26 --- Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26,23977,06
38,Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26 --- Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46,1013,06
39,Silencer_tiles;ENSG00000170604;0 --- Random_control;;;89;,864,06
40,Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40 --- Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,6990,06
41,Silencer_tiles;ENSG00000076108;118 --- Short_nuclear_domain;SCMH1_HUMAN;SAM_1;580;65,7515,06
42,Silencer_tiles;ENSG00000088305;10 --- Short_nuclear_domain;ZN777_HUMAN;DUF3669;181;67,1213,06
43,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59,1859,06
44,Short_nuclear_domain;IKKA_HUMAN;IKKbetaNEMObind;665;36 --- Human_KRAB_variant;Q3KP31;676,1183,06
45,Short_nuclear_domain;SUMO3_HUMAN;Rad60-SLD;12;70 --- Silencer_tiles;ENSG00000069812;10,2457,06
46,Silencer_tiles;ENSG00000061273;33 --- Silencer_tiles;ENSG00000061273;33,27450,06
47,Short_nuclear_domain;CREM_HUMAN;bZIP_1;265;45 --- Random_control;;;124;,324,06
48,Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40 --- Random_control;;;257;,1413,06
49,Human_KRAB_variant;P21506;146 --- Short_nuclear_domain;ITCH_HUMAN;WW;302;29,356,06
50,Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26 --- Random_control;;;89;,1691,06
51,Short_nuclear_domain;MTA3_HUMAN;GATA;357;37 --- Short_nuclear_domain;YAF2_HUMAN;YAF2_RYBP;78;32,238,06
52,Human_KRAB_variant;M0QYP0;367 --- Silencer_tiles;ENSG00000069812;10,18230,06
53,Silencer_tiles;ENSG00000130706;26 --- Silencer_tiles;ENSG00000130706;26,25838,06
54,Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72 --- Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72,28373,06
55,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26,1936,06
56,Short_nuclear_domain;MTA3_HUMAN;GATA;357;37 --- Silencer_tiles;ENSG00000130706;26,482,06
57,Short_nuclear_domain;APC16_HUMAN;ANAPC16;26;79 --- Silencer_tiles;ENSG00000130706;26,698,06
58,Silencer_tiles;ENSG00000179833;22 --- Silencer_tiles;ENSG00000179833;22,31904,06
59,Human_KRAB_variant;P21506;146 --- Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,590,06
60,Random_control;;;124; --- Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63,445,06
61,Short_nuclear_domain;TOX_HUMAN;HMG_box;255;68 --- Human_KRAB_variant;M0QYP0;367,283,06
62,Silencer_tiles;ENSG00000102974;12 --- Silencer_tiles;ENSG00000170604;0,1429,06
63,Silencer_tiles;ENSG00000076108;118 --- Random_control;;;372;,4396,06
64,Silencer_tiles;ENSG00000076108;118 --- Silencer_tiles;ENSG00000061273;33,7714,06
65,Random_control;;;297; --- Short_nuclear_domain;WBP4_HUMAN;WW;139;29,67,06
