,pair,count,sample
0,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Silencer_tiles;ENSG00000168769;132,132591,01
1,Silencer_tiles;ENSG00000179833;22 --- Silencer_tiles;ENSG00000179833;22,463890,01
2,Silencer_tiles;ENSG00000069812;10 --- Silencer_tiles;ENSG00000069812;10,58919,01
3,Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41 --- Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41,417695,01
4,Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72 --- Silencer_tiles;ENSG00000130706;26,3825,01
5,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40,164928,01
6,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46,526247,01
7,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Silencer_tiles;ENSG00000069812;10,406509,01
8,Short_nuclear_domain;ITCH_HUMAN;WW;302;29 --- Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59,43844,01
9,Random_control;;;124; --- DMD_control_tiles;ENSG00000198947;;182;,2882,01
10,Short_nuclear_domain;SMRC2_HUMAN;Myb_DNA-binding;580;45 --- Short_nuclear_domain;SMRC2_HUMAN;Myb_DNA-binding;580;45,75511,01
11,Silencer_tiles;ENSG00000179833;22 --- Random_control;;;297;,186084,01
12,DMD_control_tiles;ENSG00000198947;;171; --- Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41,26501,01
13,Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26 --- Short_nuclear_domain;DPF1_HUMAN;Requiem_N;34;71,10553,01
14,Silencer_tiles;ENSG00000168769;132 --- Silencer_tiles;ENSG00000168769;132,15953,01
15,Silencer_tiles;ENSG00000174197;238 --- DMD_control_tiles;ENSG00000198947;;357;,2667,01
16,Silencer_tiles;ENSG00000076108;118 --- Silencer_tiles;ENSG00000076108;118,51311,01
17,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63,3278,01
18,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Random_control;;;205;,279122,01
19,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,63872,01
20,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41,38413,01
21,Short_nuclear_domain;APC16_HUMAN;ANAPC16;26;79 --- Short_nuclear_domain;APBB1_HUMAN;WW;229;28,40965,01
22,Short_nuclear_domain;APC16_HUMAN;ANAPC16;26;79 --- Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,36390,01
23,Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59 --- Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46,34667,01
24,Short_nuclear_domain;KIBRA_HUMAN;WW;1;29 --- Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45,16521,01
25,Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45 --- Short_nuclear_domain;ASCL1_HUMAN;HLH;105;52,1208,01
26,Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41 --- DMD_control_tiles;ENSG00000198947;;31;,36923,01
27,Silencer_tiles;ENSG00000102974;12 --- Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26,1914,01
28,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- DMD_control_tiles;ENSG00000198947;;131;,9999,01
29,Silencer_tiles;ENSG00000179833;22 --- Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59,105369,01
30,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Short_nuclear_domain;APBB1_HUMAN;WW;229;28,115352,01
31,Random_control;;;205; --- Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46,76645,01
32,Random_control;;;385; --- Silencer_tiles;ENSG00000102974;12,227,01
33,Silencer_tiles;ENSG00000179833;22 --- Random_control;;;257;,19199,01
34,Short_nuclear_domain;APBB1_HUMAN;WW;229;28 --- Short_nuclear_domain;APBB1_HUMAN;WW;229;28,72612,01
35,Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45 --- Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,169264,01
36,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Silencer_tiles;ENSG00000179833;22,48728,01
37,Silencer_tiles;ENSG00000179833;22 --- DMD_control_tiles;ENSG00000198947;;255;,61763,01
38,DMD_control_tiles;ENSG00000198947;;171; --- Short_nuclear_domain;APBB1_HUMAN;WW;229;28,3029,01
39,Silencer_tiles;ENSG00000061273;33 --- DMD_control_tiles;ENSG00000198947;;255;,5333,01
40,Silencer_tiles;ENSG00000179833;22 --- Random_control;;;411;,163484,01
41,Silencer_tiles;ENSG00000076108;118 --- Short_nuclear_domain;MYBA_HUMAN;LMSTEN;223;46,35713,01
42,Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41 --- Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41,134918,01
43,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- DMD_control_tiles;ENSG00000198947;;176;,56100,01
44,Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26 --- Short_nuclear_domain;BTK_HUMAN;SH3_1;203;46,32300,01
45,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Silencer_tiles;ENSG00000130706;26,176249,01
46,Silencer_tiles;ENSG00000061273;33 --- Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72,4143,01
47,Random_control;;;205; --- Random_control;;;205;,71011,01
48,Random_control;;;205; --- Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,50385,01
49,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Short_nuclear_domain;MYBA_HUMAN;LMSTEN;223;46,35067,01
50,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,66810,01
51,NIZP1_KRAB --- NIZP1_KRAB,32862,01
52,Short_nuclear_domain;JDP2_HUMAN;bZIP_1;61;63 --- Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,269,01
53,Silencer_tiles;ENSG00000141644;47 --- Silencer_tiles;ENSG00000061273;33,6782,01
54,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Random_control;;;297;,172594,01
55,Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40 --- Short_nuclear_domain;NOTC2_HUMAN;Notch;1440;34,7451,01
56,Silencer_tiles;ENSG00000100307;18 --- Random_control;;;257;,4437,01
57,Short_nuclear_domain;SMCA2_HUMAN;QLQ;150;34 --- Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45,15689,01
58,Silencer_tiles;ENSG00000179833;22 --- Silencer_tiles;ENSG00000168769;132,110571,01
59,Silencer_tiles;ENSG00000179833;22 --- Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46,37381,01
60,Silencer_tiles;ENSG00000174197;238 --- Random_control;;;297;,4523,01
61,Silencer_tiles;ENSG00000130706;26 --- Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26,14568,01
62,Silencer_tiles;ENSG00000179833;22 --- Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45,62022,01
63,Short_nuclear_domain;MYBA_HUMAN;LMSTEN;223;46 --- Short_nuclear_domain;MYBA_HUMAN;LMSTEN;223;46,44733,01
64,Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26 --- Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26,52527,01
65,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Short_nuclear_domain;DPY30_HUMAN;Dpy-30;19;41,16886,01
66,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Silencer_tiles;ENSG00000205571;13,48991,01
67,Short_nuclear_domain;APBB1_HUMAN;WW;229;28 --- Random_control;;;297;,7076,01
68,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- DMD_control_tiles;ENSG00000198947;;171;,769,01
69,Short_nuclear_domain;SMRC2_HUMAN;Myb_DNA-binding;580;45 --- Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41,100786,01
70,Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41 --- Random_control;;;372;,21856,01
71,DMD_control_tiles;ENSG00000198947;;255; --- Short_nuclear_domain;APBB1_HUMAN;WW;229;28,924,01
72,Short_nuclear_domain;SMRC2_HUMAN;Myb_DNA-binding;580;45 --- Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59,90624,01
73,Random_control;;;124; --- Silencer_tiles;ENSG00000170604;0,3930,01
74,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,296676,01
75,Short_nuclear_domain;SMRC2_HUMAN;Myb_DNA-binding;580;45 --- Short_nuclear_domain;SCMH1_HUMAN;SAM_1;580;65,2410,01
76,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Short_nuclear_domain;ZFP28_HUMAN;KRAB;209;37,99682,01
77,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- DMD_control_tiles;ENSG00000198947;;357;,182743,01
78,Short_nuclear_domain;STAT2_HUMAN;STAT2_C;770;55 --- Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,32120,01
79,Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41 --- Random_control;;;385;,35416,01
80,Silencer_tiles;ENSG00000179833;22 --- Short_nuclear_domain;WWP2_HUMAN;WW;381;28,62704,01
81,Short_nuclear_domain;SMCA2_HUMAN;QLQ;150;34 --- Short_nuclear_domain;NOTC2_HUMAN;Notch;1440;34,13249,01
82,Short_nuclear_domain;MTA3_HUMAN;GATA;357;37 --- Silencer_tiles;ENSG00000179833;22,24507,01
83,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Short_nuclear_domain;SMCA2_HUMAN;QLQ;150;34,87598,01
84,Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41 --- Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45,26982,01
85,Short_nuclear_domain;SMRC2_HUMAN;Myb_DNA-binding;580;45 --- Short_nuclear_domain;ZN777_HUMAN;DUF3669;181;67,3731,01
86,Silencer_tiles;ENSG00000088305;10 --- Random_control;;;297;,8273,01
87,DMD_control_tiles;ENSG00000198947;;357; --- Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41,101900,01
88,Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41 --- Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40,23390,01
89,NIZP1_C2HR --- Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41,22367,01
90,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Short_nuclear_domain;MTA3_HUMAN;GATA;357;37,102626,01
91,Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41 --- Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41,14484,01
92,Random_control;;;257; --- Random_control;;;385;,9346,01
93,Random_control;;;124; --- Silencer_tiles;ENSG00000130706;26,9940,01
94,Short_nuclear_domain;IKKA_HUMAN;IKKbetaNEMObind;665;36 --- Short_nuclear_domain;ABL1_HUMAN;SH3_1;50;46,34621,01
95,Silencer_tiles;ENSG00000130706;26 --- Short_nuclear_domain;KIBRA_HUMAN;WW;1;29,26868,01
96,Random_control;;;411; --- Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41,77343,01
97,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Silencer_tiles;ENSG00000085224;242,113703,01
98,Short_nuclear_domain;IKKA_HUMAN;IKKbetaNEMObind;665;36 --- Silencer_tiles;ENSG00000179833;22,62622,01
99,Short_nuclear_domain;ITCH_HUMAN;WW;302;29 --- Random_control;;;21;,5169,01
100,Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45 --- Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41,50433,01
101,Random_control;;;372; --- Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41,50609,01
