,pair,count,sample
0,Random_control;;;124; --- Random_control;;;124;,111801,09
1,Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26 --- Silencer_tiles;ENSG00000102974;12,2492,09
2,Random_control;;;205; --- Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46,8079,09
3,DMD_control_tiles;ENSG00000198947;;357; --- Silencer_tiles;ENSG00000111642;38,3805,09
4,Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63 --- DMD_control_tiles;ENSG00000198947;;31;,2732,09
5,Silencer_tiles;ENSG00000061273;33 --- Silencer_tiles;ENSG00000061273;33,70397,09
6,Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46 --- Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46,90386,09
7,Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63 --- Silencer_tiles;ENSG00000111642;38,2613,09
8,Short_nuclear_domain;TERF1_HUMAN;Myb_DNA-binding;359;48 --- Silencer_tiles;ENSG00000069812;10,3924,09
9,Short_nuclear_domain;HERC2_HUMAN;Cyt-b5;1207;72 --- Random_control;;;411;,4065,09
10,Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63 --- Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41,3740,09
11,Silencer_tiles;ENSG00000111642;38 --- Silencer_tiles;ENSG00000179833;22,2165,09
12,DMD_control_tiles;ENSG00000198947;;297; --- Short_nuclear_domain;WWP2_HUMAN;WW;381;28,4078,09
13,Random_control;;;205; --- Random_control;;;205;,167558,09
14,Short_nuclear_domain;APBB1_HUMAN;WW;229;28 --- Silencer_tiles;ENSG00000163602;11,1319,09
15,DMD_control_tiles;ENSG00000198947;;31; --- DMD_control_tiles;ENSG00000198947;;31;,14896,09
16,Short_nuclear_domain;SMRC2_HUMAN;Myb_DNA-binding;580;45 --- Short_nuclear_domain;SMRC2_HUMAN;Myb_DNA-binding;580;45,46937,09
17,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,77155,09
18,Silencer_tiles;ENSG00000076108;118 --- Short_nuclear_domain;SCMH1_HUMAN;SAM_1;580;65,13502,09
19,Silencer_tiles;ENSG00000100307;18 --- Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41,1581,09
20,Short_nuclear_domain;APBB1_HUMAN;WW;229;28 --- Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63,1461,09
21,Random_control;;;89; --- Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63,2922,09
22,Silencer_tiles;ENSG00000076108;118 --- Short_nuclear_domain;WWP2_HUMAN;WW;381;28,9690,09
23,Silencer_tiles;ENSG00000076108;118 --- Silencer_tiles;ENSG00000069812;10,68044,09
24,Silencer_tiles;ENSG00000102974;12 --- Silencer_tiles;ENSG00000102974;12,23740,09
25,Short_nuclear_domain;NOTC2_HUMAN;Notch;1440;34 --- DMD_control_tiles;ENSG00000198947;;357;,2792,09
26,Silencer_tiles;ENSG00000168769;132 --- Silencer_tiles;ENSG00000168769;132,30992,09
27,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,7846,09
28,DMD_control_tiles;ENSG00000198947;;176; --- Silencer_tiles;ENSG00000069812;10,3388,09
29,Silencer_tiles;ENSG00000205571;13 --- Short_nuclear_domain;NCOA2_HUMAN;Nuc_rec_co-act;1054;46,590,09
30,Random_control;;;372; --- Random_control;;;372;,37064,09
31,Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26 --- Short_nuclear_domain;CACO1_HUMAN;Zn-C2H2_12;611;26,39563,09
32,Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56 --- Random_control;;;257;,3341,09
33,Random_control;;;257; --- Random_control;;;257;,94691,09
34,Human_KRAB_variant;M0QYP0;367 --- Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,10877,09
35,Silencer_tiles;ENSG00000076108;118 --- Silencer_tiles;ENSG00000168769;132,9641,09
36,Short_nuclear_domain;SCMH1_HUMAN;SAM_1;580;65 --- Short_nuclear_domain;SCMH1_HUMAN;SAM_1;580;65,30887,09
37,Short_nuclear_domain;TOX_HUMAN;HMG_box;255;68 --- Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40,996,09
38,Short_nuclear_domain;PCGF2_HUMAN;zf-C3HC4_2;1;39 --- Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59,4490,09
39,Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41 --- Short_nuclear_domain;SCMH1_HUMAN;SAM_1;580;65,3419,09
40,Silencer_tiles;ENSG00000069812;10 --- Silencer_tiles;ENSG00000069812;10,200124,09
41,Random_control;;;124; --- DMD_control_tiles;ENSG00000198947;;297;,4719,09
42,Silencer_tiles;ENSG00000141644;47 --- Short_nuclear_domain;PCGF2_HUMAN;zf-C3HC4_2;1;39,3610,09
43,Short_nuclear_domain;IKKA_HUMAN;IKKbetaNEMObind;665;36 --- NIZP1_C2HR,2357,09
44,Silencer_tiles;ENSG00000141644;47 --- Random_control;;;205;,12833,09
45,NIZP1_KRAB --- Short_nuclear_domain;SMCA2_HUMAN;QLQ;150;34,4628,09
46,Short_nuclear_domain;CREM_HUMAN;bZIP_1;265;45 --- Random_control;;;124;,1320,09
47,Short_nuclear_domain;PCGF2_HUMAN;zf-C3HC4_2;1;39 --- Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,5220,09
