,pair,count,sample
0,Random_control;;;257; --- Random_control;;;257;,190877,05
1,Random_control;;;205; --- Random_control;;;205;,285646,05
2,Silencer_tiles;ENSG00000088305;10 --- Silencer_tiles;ENSG00000088305;10,99706,05
3,Silencer_tiles;ENSG00000085224;242 --- Silencer_tiles;ENSG00000085224;242,23832,05
4,Human_KRAB_variant;M0QYP0;367 --- Human_KRAB_variant;M0QYP0;367,19088,05
5,Silencer_tiles;ENSG00000168769;132 --- DMD_control_tiles;ENSG00000198947;;259;,1670,05
6,Short_nuclear_domain;ID2_HUMAN;HLH;15;41 --- Silencer_tiles;ENSG00000130706;26,631,05
7,Short_nuclear_domain;DPF1_HUMAN;Requiem_N;34;71 --- Short_nuclear_domain;DPF1_HUMAN;Requiem_N;34;71,76576,05
8,Silencer_tiles;ENSG00000163602;11 --- Short_nuclear_domain;ANM2_HUMAN;SH3_1;18;45,449,05
9,Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41 --- Short_nuclear_domain;ZN473_HUMAN;KRAB;1;41,83025,05
10,Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40 --- Short_nuclear_domain;KS6B2_HUMAN;Pkinase_C;329;40,129245,05
11,Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59 --- Short_nuclear_domain;U2AF4_HUMAN;RRM_1;71;59,43512,05
12,Silencer_tiles;ENSG00000076108;118 --- Short_nuclear_domain;ITCH_HUMAN;WW;302;29,22667,05
13,Silencer_tiles;ENSG00000168769;132 --- Silencer_tiles;ENSG00000168769;132,54707,05
14,Short_nuclear_domain;FOXO3_HUMAN;FOXO-TAD;584;41 --- Short_nuclear_domain;CXXC1_HUMAN;PHD;12;48,725,05
15,Random_control;;;257; --- Random_control;;;21;,24104,05
16,Random_control;;;89; --- Short_nuclear_domain;PYGO1_HUMAN;PHD;330;56,13910,05
17,Short_nuclear_domain;SMCA2_HUMAN;QLQ;150;34 --- Short_nuclear_domain;NOTC2_HUMAN;Notch;1440;34,991,05
18,DMD_control_tiles;ENSG00000198947;;297; --- Short_nuclear_domain;BIN1_HUMAN;SH3_9;513;63,5036,05
19,Silencer_tiles;ENSG00000069812;10 --- Silencer_tiles;ENSG00000069812;10,137637,05
20,Short_nuclear_domain;SMRC2_HUMAN;Myb_DNA-binding;580;45 --- Silencer_tiles;ENSG00000069812;10,51641,05
21,Silencer_tiles;ENSG00000076108;118 --- Silencer_tiles;ENSG00000076108;118,102648,05
22,Short_nuclear_domain;APBB1_HUMAN;WW;229;28 --- Short_nuclear_domain;APBB1_HUMAN;WW;229;28,74941,05
23,Short_nuclear_domain;SMCA2_HUMAN;QLQ;150;34 --- Random_control;;;124;,2990,05
24,Silencer_tiles;ENSG00000179833;22 --- Random_control;;;124;,20214,05
25,Random_control;;;372; --- Silencer_tiles;ENSG00000168769;132,6653,05
26,Random_control;;;124; --- Random_control;;;124;,222805,05
27,Silencer_tiles;ENSG00000127124;78 --- Short_nuclear_domain;CRTC2_HUMAN;TORC_C;613;77,3729,05
